epoch,epoch_train_duration_minutes,lr-RangerLite,step,train_loss_epoch,train_loss_step,val_loss_epoch,val_loss_step
1,,,3539,,0.1254585236310959,,
,,0.001,3549,,,,
1,,,3549,,0.11639030277729034,,
,,0.001,3559,,,,
1,,,3559,,0.11053307354450226,,
,,0.001,3569,,,,
1,,,3569,,0.10991942137479782,,
,,0.001,3579,,,,
1,,,3579,,0.11031465232372284,,
,,0.001,3589,,,,
1,,,3589,,0.1117967739701271,,
,,0.001,3599,,,,
1,,,3599,,0.10519669204950333,,
,,0.001,3609,,,,
1,,,3609,,0.11466022580862045,,
,,0.001,3619,,,,
1,,,3619,,0.10213635861873627,,
,,0.001,3629,,,,
1,,,3629,,0.1218109056353569,,
,,0.001,3639,,,,
1,,,3639,,0.1113075464963913,,
,,0.001,3649,,,,
1,,,3649,,0.10925114899873734,,
,,0.001,3659,,,,
1,,,3659,,0.10628321766853333,,
,,0.001,3669,,,,
1,,,3669,,0.1152331680059433,,
,,0.001,3679,,,,
1,,,3679,,0.10207083821296692,,
,,0.001,3689,,,,
1,,,3689,,0.10785362869501114,,
,,0.001,3699,,,,
1,,,3699,,0.1143723875284195,,
,,0.001,3709,,,,
1,,,3709,,0.11419710516929626,,
,,0.001,3719,,,,
1,,,3719,,0.10139355808496475,,
,,0.001,3729,,,,
1,,,3729,,0.11001981794834137,,
,,0.001,3739,,,,
1,,,3739,,0.10392723977565765,,
,,0.001,3749,,,,
1,,,3749,,0.10501299798488617,,
,,0.001,3759,,,,
1,,,3759,,0.10358569025993347,,
,,0.001,3769,,,,
1,,,3769,,0.10873884707689285,,
,,0.001,3779,,,,
1,,,3779,,0.09310928732156754,,
,,0.001,3789,,,,
1,,,3789,,0.12329965829849243,,
,,0.001,3799,,,,
1,,,3799,,0.09804043173789978,,
,,0.001,3809,,,,
1,,,3809,,0.09415990859270096,,
,,0.001,3819,,,,
1,,,3819,,0.1011255756020546,,
,,0.001,3829,,,,
1,,,3829,,0.10170965641736984,,
,,0.001,3839,,,,
1,,,3839,,0.10044920444488525,,
,,0.001,3849,,,,
1,,,3849,,0.11188607662916183,,
,,0.001,3859,,,,
1,,,3859,,0.10771532356739044,,
,,0.001,3869,,,,
1,,,3869,,0.1028321385383606,,
,,0.001,3879,,,,
1,,,3879,,0.10762102901935577,,
,,0.001,3889,,,,
1,,,3889,,0.09527300298213959,,
,,0.001,3899,,,,
1,,,3899,,0.11390729993581772,,
,,0.001,3909,,,,
1,,,3909,,0.0964515209197998,,
,,0.001,3919,,,,
1,,,3919,,0.09698200225830078,,
,,0.001,3929,,,,
1,,,3929,,0.09688013792037964,,
,,0.001,3939,,,,
1,,,3939,,0.09731464833021164,,
,,0.001,3949,,,,
1,,,3949,,0.10121827572584152,,
,,0.001,3959,,,,
1,,,3959,,0.10489755868911743,,
,,0.001,3969,,,,
1,,,3969,,0.10482794791460037,,
,,0.001,3979,,,,
1,,,3979,,0.10262364894151688,,
